pitch_type,p_throws,stand,events,description,launch_speed
KC,R,L,strikeout,swinging_strike_blocked,
KC,R,L,,swinging_strike,
FC,R,L,,swinging_strike,
KC,R,L,,ball,
KC,R,L,strikeout,swinging_strike,
FF,R,L,,ball,
KC,R,L,,foul,77.3
KC,R,L,,foul,65.3
FF,R,L,,ball,
KC,R,L,,ball,
KC,R,L,,called_strike,
KC,R,R,field_out,hit_into_play,92.4
FF,R,R,,ball,
KC,R,R,,foul,49.7
SI,R,R,,called_strike,
FF,R,R,,ball,
ST,R,R,field_out,hit_into_play,102.7
CU,R,L,strikeout,swinging_strike,
CU,R,L,,blocked_ball,
SI,R,L,,called_strike,
FS,R,L,,blocked_ball,
FS,R,L,,ball,
FC,R,L,,called_strike,
FC,R,R,walk,ball,
FF,R,R,,ball,
FC,R,R,,ball,
FC,R,R,,foul,80.4
FC,R,R,,ball,
FF,R,L,field_out,hit_into_play,103.3
FF,R,R,single,hit_into_play,99.3
FC,R,R,,swinging_strike,
FF,R,R,,called_strike,
ST,R,L,strikeout,swinging_strike,
FF,R,L,,ball,
FF,R,L,,swinging_strike,
ST,R,L,,called_strike,
SI,R,R,field_out,hit_into_play,94.5
FC,R,L,walk,ball,
ST,R,L,,called_strike,
ST,R,L,,ball,
ST,R,L,,ball,
ST,R,L,,ball,
ST,R,R,double,hit_into_play,100.1
SI,R,R,,foul,82.8
ST,R,R,,ball,
ST,R,R,,foul,
ST,R,R,,called_strike,
SI,R,R,,ball,
ST,R,R,,ball,
ST,R,L,field_out,hit_into_play,65.6
ST,R,L,,ball,
ST,R,L,,foul,66.1
SI,R,L,,called_strike,
CH,R,L,strikeout,swinging_strike,
FF,R,L,,foul,71.6
FF,R,L,,foul,64.5
CH,R,L,,blocked_ball,
FF,R,L,,ball,
FF,R,R,sac_fly,hit_into_play,97.9
CH,R,L,catcher_interf,foul,
FF,R,L,sac_fly,hit_into_play,95.6
FF,R,L,,ball,
FF,R,L,,swinging_strike,
CH,R,L,,blocked_ball,
FF,R,L,,called_strike,
FF,R,L,,ball,
CH,R,R,walk,ball,
CH,R,R,,ball,
CH,R,R,,ball,
CH,R,R,,blocked_ball,
CH,R,R,single,hit_into_play,67.2
CH,R,R,single,hit_into_play,108.2
CH,R,R,,ball,
CH,R,R,,called_strike,
ST,R,R,field_out,hit_into_play,74.4
FC,R,R,,foul,
FC,R,R,,called_strike,
FF,R,R,,ball,
ST,R,R,,ball,
ST,R,R,,ball,
ST,R,L,strikeout,called_strike,
FF,R,L,,ball,
ST,R,L,,foul,
FC,R,L,,ball,
ST,R,L,,called_strike,
ST,R,L,strikeout,foul_tip,
ST,R,L,,foul,76.2
FF,R,L,,foul,
ST,R,L,,called_strike,
ST,R,L,strikeout,called_strike,
SL,R,L,,foul,80.5
ST,R,L,,ball,
ST,R,L,,ball,
SI,R,L,,foul,69.4
SL,R,L,,called_strike,
SI,R,L,,ball,
SI,R,R,walk,ball,
SI,R,R,,ball,
SI,R,R,,ball,
SI,R,R,,ball,
SI,R,L,walk,ball,
CH,R,L,,ball,
FC,R,L,,ball,
FF,R,L,,foul,105.5
CH,R,L,,ball,
FC,R,R,field_out,hit_into_play,78.8
KC,R,R,,called_strike,
KC,R,L,field_out,hit_into_play,79.1
CH,R,L,,ball,
SI,R,L,,called_strike,
SI,R,R,field_out,hit_into_play,88.7
FF,R,R,,ball,
ST,R,R,,called_strike,
SI,R,R,,called_strike,
SI,R,R,,ball,
SI,R,R,,ball,
SI,R,L,walk,ball,
SL,R,L,,blocked_ball,
FF,R,L,,ball,
SI,R,L,,foul,80.3
FC,R,L,,ball,
SI,R,L,,foul,69.3
SL,R,R,sac_fly,hit_into_play,101.9
FF,R,L,force_out,hit_into_play,82.8
SI,R,L,,foul_bunt,
FF,R,L,,swinging_strike,
SI,R,R,walk,ball,
SI,R,R,,foul,76.7
SI,R,R,,foul,96.4
SL,R,R,,blocked_ball,
SI,R,R,,ball,
SI,R,R,,swinging_strike,
SL,R,R,,called_strike,
SI,R,R,,ball,
SI,R,L,walk,ball,
FF,R,L,,foul,81.1
SL,R,L,,ball,
SI,R,L,,foul,77.2
SL,R,L,,ball,
SL,R,L,,ball,
FF,R,L,field_out,hit_into_play,79.5
FF,R,L,,foul,79.2
KC,R,L,,foul,58.0
FF,R,R,strikeout,swinging_strike,
FC,R,R,,foul,66.1
KC,R,R,,ball,
FC,R,R,,foul,81.1
FF,R,R,,ball,
KC,R,L,field_out,hit_into_play,97.3
FC,R,L,,foul,
FF,R,L,,called_strike,
FF,L,R,field_out,hit_into_play,91.9
FF,L,R,,swinging_strike,
FF,L,R,,called_strike,
FF,L,R,,ball,
FF,L,L,walk,ball,
FF,L,L,,called_strike,
SL,L,L,,ball,
FF,L,L,,ball,
SL,L,L,,ball,
FF,L,L,hit_by_pitch,hit_by_pitch,
FF,L,L,,ball,
SL,L,L,,ball,
SL,L,R,single,hit_into_play,91.5
FF,L,R,,swinging_strike,
FF,L,R,,ball,
FF,L,R,,called_strike,
SL,L,L,field_out,hit_into_play,88.1
FF,L,L,,called_strike,
FF,L,L,,foul,63.6
SL,L,L,,ball,
FF,L,R,field_out,hit_into_play,90.8
FF,L,R,,ball,
SL,L,R,,called_strike,
FF,R,R,force_out,hit_into_play,93.7
FF,R,R,,foul,67.9
FC,R,R,,foul,84.4
FC,R,L,walk,ball,
FF,R,L,,foul,83.7
KC,R,L,,blocked_ball,
FF,R,L,,ball,
KC,R,L,,ball,
SL,R,R,double,hit_into_play,101.5
SL,R,R,,ball,
FF,R,R,,foul,79.9
FC,R,R,,swinging_strike,
FF,R,L,single,hit_into_play,78.8
CH,R,L,,foul,71.4
FF,R,L,,foul,82.0
CH,R,L,,ball,
SI,R,L,,foul,77.9
SL,R,R,single,hit_into_play,49.8
FC,R,R,,ball,
KC,R,L,strikeout,swinging_strike,
FF,R,L,,foul_tip,
CH,R,L,,ball,
FC,R,L,,foul_tip,
FF,R,L,strikeout,swinging_strike,
FF,R,L,,swinging_strike,
CH,R,L,,called_strike,
FF,R,L,,ball,
SL,R,R,fielders_choice,hit_into_play,74.6
FF,R,R,,swinging_strike,
SL,R,R,,ball,
FC,R,R,,called_strike,
KC,R,R,,blocked_ball,
CH,R,L,field_error,hit_into_play,91.8
CH,R,L,,foul,78.5
KC,R,L,,foul,78.3
CH,R,L,,called_strike,
FF,R,R,single,hit_into_play,92.5
SL,R,R,,ball,
FF,R,L,strikeout,called_strike,
FF,R,L,,ball,
FC,R,L,,foul,73.8
FF,R,L,,foul,81.8
FC,R,L,,ball,
FF,R,L,,foul,83.1
FF,R,L,,called_strike,
FF,R,R,field_out,hit_into_play,100.9
FC,R,R,,blocked_ball,
FF,R,L,single,hit_into_play,107.7
FF,R,R,field_out,hit_into_play,97.2
FF,R,L,walk,ball,
FF,R,L,,foul,73.1
FF,R,L,,swinging_strike,
FF,R,L,,called_strike,
FC,R,L,,ball,
FF,R,L,,ball,
FF,R,L,,ball,
FF,R,L,field_out,hit_into_play,98.2
FF,R,L,,foul,82.5
FF,R,L,,swinging_strike,
FF,R,L,,called_strike,
FF,R,R,field_out,hit_into_play,79.4
KC,R,L,field_out,hit_into_play,106.6
KC,R,L,,called_strike,
SL,R,R,walk,ball,
FF,R,R,,foul,83.2
FC,R,R,,ball,
SL,R,R,,ball,
FF,R,R,,called_strike,
SI,R,R,,ball,
SL,R,L,strikeout,swinging_strike,
SL,R,L,,called_strike,
FF,R,L,,foul,83.8
FF,R,L,,ball,
SL,R,R,field_out,hit_into_play,85.3
FF,R,R,,foul,78.4
FF,R,R,,ball,
FF,R,R,,foul,
FF,R,L,field_out,hit_into_play,106.3
SL,R,L,,ball,
FF,R,L,,ball,
FF,R,R,home_run,hit_into_play,105.4
CH,R,L,field_out,hit_into_play,88.2
CH,R,L,,swinging_strike,
FF,R,L,,foul,
FF,R,L,walk,ball,
FF,R,L,,called_strike,
FF,R,L,,ball,
CH,R,L,,ball,
CH,R,L,,ball,
FF,R,L,,called_strike,
FF,R,R,field_out,hit_into_play,90.5
KC,R,R,,called_strike,
SL,R,R,,ball,
CH,R,L,strikeout,called_strike,
KC,R,L,,foul,67.3
FF,R,L,,foul,88.1
KC,R,L,,foul,
FF,R,L,,called_strike,
SL,L,L,field_out,hit_into_play,69.0
SL,L,L,,called_strike,
SL,L,R,walk,ball,
SI,L,R,,ball,
SL,L,R,,ball,
SL,L,R,,called_strike,
SL,L,R,,ball,
SL,L,L,walk,blocked_ball,
FF,L,L,,ball,
SL,L,L,,foul,
SL,L,L,,blocked_ball,
SL,L,L,,ball,
SL,L,L,,swinging_strike,
SL,L,R,strikeout,called_strike,
SL,L,R,,called_strike,
SL,L,R,,swinging_strike,
SL,R,L,single,hit_into_play,84.4
FF,R,L,,called_strike,
SL,R,L,,ball,
KC,R,L,,blocked_ball,
FF,R,L,,ball,
KC,R,L,field_out,hit_into_play,84.3
KC,R,L,,ball,
KC,R,R,double,hit_into_play,96.4
FF,R,R,,called_strike,
FC,R,R,field_out,hit_into_play,93.2
SI,R,R,,called_strike,
SL,R,R,,ball,
FF,R,L,strikeout,called_strike,
FF,R,L,,foul,72.5
CH,R,L,,ball,
KC,R,L,,called_strike,
KC,R,L,,called_strike,
SL,R,R,strikeout,swinging_strike,
SL,R,R,,ball,
FC,R,R,,foul,79.5
FF,R,R,,called_strike,
FF,R,L,strikeout,called_strike,
SL,R,L,,swinging_strike,
SL,R,L,,ball,
SL,R,L,,swinging_strike,
FF,R,L,,ball,
FF,R,L,,ball,
FF,R,R,field_out,hit_into_play,99.4
FF,R,R,,called_strike,
FF,R,R,,called_strike,
KC,R,R,,ball,
KC,R,R,,ball,
SL,R,R,,ball,
FF,R,L,home_run,hit_into_play,103.8
FF,R,L,,called_strike,
KC,R,L,,ball,
FF,R,L,,ball,
FF,R,R,home_run,hit_into_play,108.9
SL,R,L,walk,ball,
FF,R,L,,called_strike,
FF,R,L,,ball,
KC,R,L,,ball,
KC,R,L,,ball,
SL,R,R,field_out,hit_into_play,96.1
SL,R,R,,ball,
FF,R,R,,called_strike,
FF,R,R,,swinging_strike,
FF,R,L,field_out,hit_into_play,91.2
CH,R,L,,called_strike,
FF,R,L,,foul,87.7
SL,R,R,field_out,hit_into_play,42.9
FF,R,R,,ball,
KC,R,R,,called_strike,
FF,R,L,field_out,hit_into_play,93.2
SI,L,R,field_out,hit_into_play,82.6
SI,L,R,,ball,
SI,L,R,,foul,81.6
FF,L,R,,ball,
FF,L,R,,called_strike,
SI,L,R,field_out,hit_into_play,74.3
SI,L,R,,ball,
SI,L,R,field_out,hit_into_play,95.7
SI,L,R,,foul,87.5
SI,L,R,,ball,
SI,L,R,,ball,
FF,L,R,,ball,
SI,L,R,,foul,73.2
SI,L,R,,foul,58.2
SI,L,R,,called_strike,
SL,R,R,field_out,hit_into_play,82.4
FF,R,R,,ball,
FF,R,R,,foul,65.6
SL,R,R,,ball,
FF,R,L,field_out,hit_into_play,89.6
FF,R,L,,called_strike,
FF,R,L,,ball,
FF,R,L,,ball,
CH,R,L,,ball,
FF,R,L,,called_strike,
SL,R,R,single,hit_into_play,107.8
SL,R,R,,ball,
FF,R,R,,foul,
FF,R,L,double,hit_into_play,96.6
FF,R,L,,foul,
FF,R,L,,foul,89.7
SL,R,L,,foul,71.8
SC,R,L,,ball,
SC,R,L,,swinging_strike,
CH,R,L,,ball,
FF,R,L,,foul,79.0
FF,R,L,,ball,
FF,R,R,home_run,hit_into_play,103.5
SL,R,R,,foul,71.4
SL,R,R,,ball,
FF,R,L,fielders_choice,hit_into_play,99.9
SL,R,L,,foul,73.8
FF,R,L,,foul,85.1
SC,R,L,,foul,106.4
CH,R,L,,foul,60.1
SL,R,L,,ball,
CH,R,L,,foul,55.8
SC,R,L,,ball,
FF,R,L,,foul,86.7
SL,R,L,,swinging_strike,
FF,R,L,,called_strike,
SC,R,L,walk,ball,
SC,R,L,,foul,71.5
FF,R,L,,called_strike,
CH,R,L,,ball,
CH,R,L,,ball,
FF,R,L,,blocked_ball,
SC,R,L,,foul,72.9
SL,R,R,double,hit_into_play,102.0
SL,R,R,,foul,
SL,R,R,,swinging_strike,
FF,R,R,,ball,
SL,R,R,,ball,
FF,R,R,,foul_bunt,
FF,R,L,field_out,hit_into_play,93.0
FF,R,L,strikeout,swinging_strike,
CH,R,L,,ball,
FF,R,L,,called_strike,
FF,R,L,,called_strike,
FF,R,L,,ball,
CH,R,R,strikeout,swinging_strike,
FF,R,R,,foul,79.7
CH,R,R,,ball,
FC,R,R,,foul,70.5
FF,R,R,,swinging_strike,
FC,R,R,,called_strike,
FF,R,L,field_out,hit_into_play,95.5
CH,R,L,,swinging_strike,
CH,R,L,,ball,
CH,R,L,,ball,
FF,R,L,,called_strike,
SL,R,R,field_out,hit_into_play,117.3
SL,R,R,,ball,
FF,R,R,,foul,73.9
FF,R,R,,ball,
SL,R,R,,ball,
FF,R,L,field_out,hit_into_play,99.6
CU,R,R,field_out,hit_into_play,92.6
FF,R,R,,ball,
FF,R,R,,called_strike,
CU,R,R,,ball,
CU,R,R,,ball,
FF,R,R,,called_strike,
FF,R,R,strikeout,swinging_strike,
FC,R,R,,ball,
FF,R,R,,swinging_strike,
FC,R,R,,foul,72.0
FF,R,R,,ball,
FS,R,L,strikeout,swinging_strike,
FS,R,L,,foul,
FS,R,L,,blocked_ball,
FS,R,L,,ball,
FS,R,L,,ball,
FC,R,L,,swinging_strike,
FS,R,L,,called_strike,
FC,R,L,walk,ball,
CU,R,L,,ball,
FS,R,L,,ball,
FS,R,L,,ball,
CU,R,L,,swinging_strike,
CU,R,R,strikeout,swinging_strike,
SI,R,R,,called_strike,
FS,R,R,,ball,
FS,R,R,,ball,
CU,R,R,,called_strike,
CU,R,R,,ball,
CH,R,L,strikeout,swinging_strike,
SL,R,L,,ball,
SL,R,L,,called_strike,
CH,R,L,,called_strike,
SL,R,R,field_out,hit_into_play,98.8
FF,R,R,,called_strike,
FF,R,L,field_out,hit_into_play,94.8
FF,R,L,,ball,
FF,R,L,home_run,hit_into_play,107.0
CH,R,L,,called_strike,
FF,R,L,,foul,
FF,R,L,,ball,
SI,R,L,field_out,hit_into_play,64.7
ST,R,L,,called_strike,
SI,R,L,,ball,
FF,R,L,,ball,
SI,R,R,strikeout,swinging_strike,
SL,R,R,,ball,
ST,R,R,,called_strike,
SL,R,R,,swinging_strike,
SI,R,R,,ball,
ST,R,L,strikeout,swinging_strike,
FF,R,L,,swinging_strike,
ST,R,L,,called_strike,
CH,R,R,field_out,hit_into_play,101.4
FF,R,R,,ball,
CU,R,R,,called_strike,
CH,R,L,field_out,hit_into_play,88.1
FF,R,L,,ball,
CH,R,L,,called_strike,
FF,R,L,,ball,
SL,R,R,strikeout,swinging_strike,
SL,R,R,,called_strike,
FF,R,R,,ball,
SL,R,R,,foul,68.1
CU,R,L,walk,ball,
FF,R,L,,ball,
CH,R,L,,foul,69.3
FF,R,L,,foul,85.6
CH,R,L,,blocked_ball,
CH,R,L,,ball,
SL,R,R,field_error,hit_into_play,84.8
CU,R,R,,called_strike,
SL,R,R,field_out,hit_into_play,95.2
SI,L,L,force_out,hit_into_play,71.6
SI,L,R,force_out,hit_into_play,79.5
SI,L,R,,ball,
FF,L,R,,ball,
SI,L,L,single,hit_into_play,103.8
FF,R,L,walk,ball,
FF,R,L,,ball,
CH,R,L,,called_strike,
CH,R,L,,ball,
CH,R,L,,ball,
FF,R,R,home_run,hit_into_play,97.2
FF,R,R,,called_strike,
FF,R,R,,called_strike,
CU,R,L,field_out,hit_into_play,110.0
CH,R,L,,ball,
CH,R,L,,called_strike,
FF,R,L,,ball,
FF,R,R,grounded_into_double_play,hit_into_play,106.9
FF,R,R,,foul,81.6
SL,R,R,,ball,
SL,R,R,,ball,
FF,R,R,,called_strike,
SL,R,R,,ball,
CU,R,L,single,hit_into_play,96.6
CU,R,L,,called_strike,
FF,R,L,,ball,
CH,R,L,field_out,hit_into_play,72.7
CH,R,L,,called_strike,
CH,R,L,,ball,
SL,R,R,force_out,hit_into_play,87.2
FF,R,L,walk,blocked_ball,
FF,R,L,,foul,
SL,R,L,,ball,
SL,R,L,,swinging_strike,
CH,R,L,,called_strike,
CH,R,L,,ball,
CH,R,L,,ball,
FF,R,R,field_out,hit_into_play,91.2
SL,R,R,,foul,69.4
FF,R,L,field_out,hit_into_play,93.2
SL,R,R,home_run,hit_into_play,107.6
FF,R,L,field_out,hit_into_play,72.2
FF,R,L,,foul,87.6
SI,R,L,,blocked_ball,
FF,R,L,,ball,
FF,R,R,walk,ball,
SL,R,R,,blocked_ball,
SL,R,R,,blocked_ball,
FF,R,R,,swinging_strike,
SL,R,R,,swinging_strike,
SL,R,R,,ball,
FF,R,L,single,hit_into_play,109.5
FF,R,R,hit_by_pitch,hit_by_pitch,
SL,R,L,strikeout,swinging_strike,
SL,R,L,,foul,78.9
SL,R,L,,swinging_strike,
SL,R,L,,ball,
SL,R,L,,foul,76.9
SL,R,L,,ball,
FF,R,L,field_out,hit_into_play,76.6
FF,R,L,,ball,
CH,R,L,,called_strike,
FF,R,L,,ball,
SL,R,R,field_out,hit_into_play,89.2
CH,R,R,,called_strike,
SL,R,L,field_out,hit_into_play,102.0
CH,R,L,,ball,
SL,R,R,field_out,hit_into_play,86.6
SL,R,L,field_out,hit_into_play,97.3
FF,R,L,,foul,75.1
CU,R,L,,swinging_strike,
FF,R,L,,called_strike,
FF,R,L,double,hit_into_play,105.2
CU,R,L,,blocked_ball,
FF,R,L,,foul,87.5
FF,R,L,,called_strike,
CU,R,L,,called_strike,
FF,R,L,,ball,
SL,R,R,walk,ball,
SL,R,R,,ball,
FF,R,R,,ball,
FF,R,R,,ball,
SL,R,R,,foul,81.9
FF,R,R,,called_strike,
FF,R,L,strikeout,called_strike,
CU,R,L,,ball,
CU,R,L,,foul,85.6
FF,R,L,,foul,79.0
FF,R,L,double_play,hit_into_play,90.1
SL,R,R,field_out,hit_into_play,87.4
FF,R,R,,ball,
FF,R,R,,called_strike,
SL,R,L,double,hit_into_play,97.6
CH,R,L,,ball,
FF,R,L,,ball,
SL,R,L,,foul,93.8
FF,R,L,,ball,
FF,R,L,,foul,95.1
FF,R,L,,called_strike,
FF,R,R,field_out,hit_into_play,95.3
FF,R,R,,ball,
FF,R,L,field_out,hit_into_play,93.5
CU,R,L,,ball,
FF,R,L,,ball,
FF,R,L,,ball,
CU,R,L,,foul,85.0
FF,R,L,,swinging_strike,
SL,R,R,walk,ball,
SL,R,R,,foul,75.1
FF,R,R,,ball,
FF,R,R,,foul,
SL,R,R,,ball,
SL,R,R,,ball,
FF,R,R,,foul,96.3
SL,R,R,,called_strike,
FF,R,L,walk,ball,
SL,R,L,,ball,
SL,R,L,,ball,
FF,R,L,,ball,
FF,R,R,field_out,hit_into_play,91.1
SL,R,R,,ball,
SL,R,R,field_out,hit_into_play,81.4
SL,R,R,,blocked_ball,
CH,R,R,,swinging_strike,
SL,R,R,,ball,
SL,R,L,strikeout,swinging_strike,
SL,R,L,,ball,
CH,R,L,,foul,85.0
SL,R,L,,ball,
FF,R,L,,ball,
SL,R,L,,foul,76.1
SL,R,R,single,hit_into_play,61.0
FF,R,R,,foul,99.8
SL,R,L,home_run,hit_into_play,106.6
CH,R,L,,ball,
CH,R,L,,ball,
FF,R,L,,called_strike,
CH,R,R,double,hit_into_play,99.7
SL,R,R,,ball,
FF,R,R,,foul,75.8
SL,R,R,,foul,20.3
FF,R,R,,called_strike,
SL,R,L,field_out,hit_into_play,83.9
FF,R,L,,ball,
SL,R,L,,swinging_strike,
CH,R,L,,ball,
FF,R,L,,ball,
FF,R,L,,foul,
FF,R,R,field_out,hit_into_play,90.9
FC,R,R,,ball,
FF,R,R,,called_strike,
FC,R,R,,ball,
FF,R,R,,called_strike,
FF,R,L,home_run,hit_into_play,100.5
FF,R,L,,foul,72.9
FF,R,L,,swinging_strike,
FF,R,L,,called_strike,
FF,R,L,field_out,hit_into_play,93.3
FC,R,L,,ball,
FF,R,L,,foul,75.6
FF,R,L,,swinging_strike,
FC,R,L,,blocked_ball,
FF,R,L,,foul,85.3
FF,R,L,walk,ball,
FF,R,L,,called_strike,
FF,R,L,,ball,
FF,R,L,,ball,
FF,R,L,,ball,
SL,R,R,strikeout,swinging_strike,
FF,R,R,,foul,83.9
FF,R,R,,called_strike,
FF,R,R,,ball,
FC,R,R,grounded_into_double_play,hit_into_play,77.3
FC,R,R,,ball,
FC,R,R,,ball,
FC,R,L,hit_by_pitch,hit_by_pitch,
CH,R,L,,ball,
FF,R,L,,called_strike,
CH,R,R,field_out,hit_into_play,74.2
FF,R,R,,ball,
CH,R,R,,foul,85.1
CH,R,R,,foul,
FF,R,L,strikeout,swinging_strike,
FF,R,L,,foul,87.6
SL,R,L,,foul,
SL,R,L,,ball,
FF,R,L,,called_strike,
FF,R,L,,called_strike,
SL,R,R,strikeout,called_strike,
FF,R,R,,swinging_strike,
SL,R,R,,ball,
FF,R,R,,swinging_strike,
SL,R,R,walk,blocked_ball,
SL,R,R,,ball,
SL,R,R,,ball,
SL,R,R,,swinging_strike,
FF,R,R,,swinging_strike,
SL,R,R,,ball,
SL,R,L,field_out,hit_into_play,84.1
SL,R,L,,ball,
FF,R,L,,foul,
FF,R,L,,called_strike,
SL,R,L,,ball,
FF,R,L,,ball,
CH,R,R,field_out,hit_into_play,93.4
CH,R,R,,swinging_strike,
FF,R,R,,ball,
CH,R,L,strikeout,called_strike,
CH,R,L,,ball,
CH,R,L,,foul,79.0
CH,R,L,,called_strike,
ST,R,R,field_out,hit_into_play,68.8
ST,R,R,,ball,
SL,R,R,,swinging_strike,
ST,R,R,,ball,
ST,R,R,,ball,
SL,R,R,,called_strike,
SI,L,R,strikeout,called_strike,
SL,L,R,,blocked_ball,
SL,L,R,,foul,87.3
FF,L,R,,foul,
SL,L,R,,blocked_ball,
FF,L,R,,called_strike,
FF,L,L,walk,ball,
SI,L,L,,ball,
SI,L,L,,ball,
FF,L,L,,ball,
FF,R,L,strikeout,called_strike,
FF,R,L,,ball,
FF,R,L,,called_strike,
FF,R,L,,foul,90.3
FF,R,L,,ball,
FF,R,L,,ball,
FF,R,L,single,hit_into_play,95.4
FF,R,L,,foul,99.1
SL,R,L,,foul,
FF,R,L,,ball,
FF,R,L,,foul,75.9
SL,R,L,,ball,
SL,R,L,,ball,
FF,R,L,,called_strike,
FF,R,L,,called_strike,
FF,R,R,strikeout,swinging_strike,
FF,R,R,,foul,100.0
FF,R,R,,called_strike,
FF,R,R,,ball,
FF,R,R,,called_strike,
FF,R,R,,ball,
SL,R,R,,ball,
SL,R,L,strikeout,swinging_strike,
ST,R,L,,ball,
SL,R,L,,swinging_strike_blocked,
ST,R,L,,ball,
SL,R,L,,foul,60.5
SI,R,R,single,hit_into_play,108.2
SI,L,L,force_out,hit_into_play,83.4
SL,L,L,,foul,
SI,L,L,,foul,74.9
SI,L,L,,foul,43.8
SI,L,L,,ball,
FF,L,R,walk,ball,
FF,L,R,,called_strike,
SI,L,R,,ball,
SI,L,R,,ball,
FF,L,R,,called_strike,
FF,L,R,,ball,
FF,L,L,field_out,hit_into_play,57.4
SI,L,L,,foul,66.6
SI,L,L,,foul,72.8
FF,L,L,,ball,
SI,L,L,,swinging_strike,
SI,L,L,,ball,
SL,L,L,force_out,hit_into_play,70.1
FF,L,L,,foul,
SL,L,L,,blocked_ball,
SL,L,L,,blocked_ball,
SI,R,R,single,hit_into_play,91.7
SL,R,R,,ball,
SI,R,R,,foul,75.7
SI,R,R,,foul,
SI,R,R,,ball,
SI,R,R,force_out,hit_into_play,62.0
SI,R,R,,ball,
FF,R,L,walk,ball,
SL,R,L,,ball,
FF,R,L,,called_strike,
SI,R,L,,ball,
FF,R,L,,ball,
SI,R,R,field_out,hit_into_play,94.7
SI,R,R,,called_strike,
SI,R,R,,ball,
SL,R,R,,ball,
SL,R,R,,ball,
SI,R,R,,called_strike,
SI,R,L,strikeout_double_play,swinging_strike,
SI,R,L,,ball,
SL,R,L,,ball,
SL,R,L,,ball,
SL,R,L,,swinging_strike,
SI,R,L,,called_strike,
SI,R,R,single,hit_into_play,100.4
SL,R,R,,ball,
FF,R,L,hit_by_pitch,hit_by_pitch,
SI,R,L,,foul,72.1
SL,R,L,,ball,
SL,R,L,,called_strike,
SI,R,L,,ball,
SI,R,L,,swinging_strike,
SL,R,R,field_out,hit_into_play,99.1
SI,R,R,,called_strike,
SI,R,R,,called_strike,
FF,R,L,field_out,hit_into_play,102.0
KC,R,L,,ball,
FC,R,L,,foul,80.1
FF,R,L,,ball,
FC,R,R,field_out,hit_into_play,64.4
FF,R,R,,foul,72.9
FF,R,R,,ball,
ST,R,R,,ball,
FF,R,R,,called_strike,
FF,R,R,,called_strike,
FF,R,R,,ball,
FF,R,L,field_out,hit_into_play,84.0
ST,L,L,grounded_into_double_play,hit_into_play,71.1
FF,L,R,field_out,hit_into_play,108.1
FC,L,R,,foul,90.8
ST,L,L,field_error,hit_into_play,49.2
FC,L,L,,ball,
FF,L,L,,swinging_strike,
FC,L,L,,ball,
ST,R,R,single,hit_into_play,92.3
FF,R,R,,foul,97.4
FF,R,R,,ball,
FC,R,R,,foul,93.6
KC,R,R,,ball,
FC,R,R,,called_strike,
KC,R,L,field_out,hit_into_play,100.7
KC,R,L,,called_strike,
ST,R,R,double,hit_into_play,86.3
FF,R,R,,swinging_strike,
KC,R,R,field_out,hit_into_play,87.5
ST,L,R,field_out,hit_into_play,105.7
FC,L,L,strikeout,swinging_strike,
FF,L,L,,foul,75.3
FF,L,L,,ball,
ST,L,L,,ball,
FC,L,L,,called_strike,
FF,L,L,,ball,
FC,L,L,,foul,
FS,R,L,fielders_choice_out,hit_into_play,16.4
CU,R,L,,called_strike,
